Month,Comunidad Autónoma,Total Paro Registrado,Hombre edad < 25,Hombre edad 25-45,Hombre edad >=45,Mujer edad < 25,Mujer edad 25-45,Mujer edad >= 45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior
Apr,Andalucía,978297,43593,190621,194878,42170,261692,245343,71597,61299,101074,657397,86930
Apr,Aragón,79214,4269,14028,15627,3851,19993,21446,3591,8990,5444,55588,5601
Apr,Principado de Asturias,83793,3047,16267,18868,2723,20084,22804,1433,7211,7657,60588,6904
Apr,Islas Baleares,72542,4789,15672,13212,4497,19216,15156,828,2986,8198,57532,2998
Apr,Canarias,254981,9645,47987,59819,8571,59514,69445,5087,9842,26374,197385,16293
Apr,Cantabria,43669,1772,8453,9646,1571,10813,11414,699,3482,3731,32801,2956
Apr,Castilla-La Mancha,199019,9538,32143,37755,8840,51741,59002,15583,19837,18007,132102,13490
Apr,Castilla y León,166354,7679,29040,36903,6723,38616,47393,8684,15318,12998,115801,13553
Apr,Cataluña,467810,18857,88979,104691,16566,108080,130637,8526,49903,38706,345370,25305
Apr,Ceuta,11899,632,2168,2114,748,3447,2790,76,471,575,8803,1974
Apr,Comunidad Valenciana,439942,19919,75798,92286,17711,106216,128012,13798,58134,36774,306062,25174
Apr,Extremadura,115445,5592,19211,22668,5272,30043,32659,11034,7017,11048,80304,6042
Apr,Galicia,191629,4919,35436,44627,4631,47574,54442,6385,21221,16358,134031,13634
Apr,Comunidad de Madrid,405023,16496,74174,86517,15554,98994,113288,2925,23609,34065,321096,23328
Apr,Melilla,9350,599,1385,1682,720,2685,2279,63,157,663,6780,1687
Apr,Región de Murcia,114208,5628,19538,21823,5545,30419,31255,6704,12502,10136,75671,9195
Apr,Navarra,40442,2125,7718,7753,1966,10502,10378,2068,5210,1990,28021,3153
Apr,País Vasco,138643,5617,27291,29797,5077,34339,36522,2764,16730,9475,94462,15212
Apr,La Rioja,18943,734,3258,4120,636,4514,5681,1590,3592,1168,11689,904
Aug,Andalucía,957727,44504,171714,183664,44549,262380,250916,88202,54945,86653,626609,101318
Aug,Aragón,76923,4351,12594,15028,3922,19710,21318,4076,8870,4758,52278,6941
Aug,Principado de Asturias,77298,3027,14039,17638,2416,18091,22087,1454,6612,6449,55029,7754
Aug,Islas Baleares,73753,5043,14924,14130,4568,19152,15936,919,3075,9576,55880,4303
Aug,Canarias,257406,9639,45466,59416,8765,61403,72717,5478,9638,23759,199643,18888
Aug,Cantabria,38944,1541,6949,8981,1234,9404,10835,669,3223,2989,28847,3216
Aug,Castilla-La Mancha,185775,8362,26611,33431,8328,50149,58894,14911,17449,13582,124600,15233
Aug,Castilla y León,155750,7054,25261,32816,6501,37564,46554,8321,14060,10280,107600,15489
Aug,Cataluña,480642,19626,87083,104661,17368,116173,135731,9168,50089,36935,354652,29798
Aug,Ceuta,12893,684,2259,2174,817,3923,3036,85,407,509,9718,2174
Aug,Comunidad Valenciana,440708,22105,70401,90777,19101,107868,130456,16193,55977,34660,299332,34546
Aug,Extremadura,105459,5151,15817,19921,5077,28006,31487,11773,5898,8351,72055,7382
Aug,Galicia,176951,4470,29413,41242,4298,44350,53178,6041,19774,13724,122005,15407
Aug,Comunidad de Madrid,429798,17433,74850,87701,16872,109994,122948,3062,24470,31370,343263,27633
Aug,Melilla,9652,600,1382,1658,698,2963,2351,73,157,615,6974,1833
Aug,Región de Murcia,119019,6076,20005,22875,5830,31935,32298,9984,12021,9614,76529,10871
Aug,Navarra,38970,2231,6841,7251,2107,10331,10209,2130,5186,1780,26068,3806
Aug,País Vasco,146450,7287,28405,30707,6151,36498,37402,2879,17771,9608,98299,17893
Aug,La Rioja,18696,714,2930,3988,668,4625,5771,1924,3394,1012,11220,1146
Jan,Andalucía,806090,32828,135150,162179,33554,215866,226513,60782,48008,73479,543960,79861
Jan,Aragón,67635,3265,10407,13685,3108,16935,20235,3754,7742,4389,46335,5415
Jan,Principado de Asturias,72967,2561,12601,16794,2232,17426,21353,1456,6218,5984,52751,6558
Jan,Islas Baleares,60855,4194,12086,10871,3810,16181,13713,694,2407,5249,49927,2578
Jan,Canarias,211164,7304,34693,51626,6431,47332,63778,4716,8370,21405,160452,16221
Jan,Cantabria,38850,1481,6989,8706,1318,9582,10774,723,3073,2841,29446,2767
Jan,Castilla-La Mancha,177587,7972,24348,32800,7873,47082,57512,14536,17084,13096,119723,13148
Jan,Castilla y León,143905,6238,22472,32959,5499,32393,44344,8322,13287,10619,99085,12592
Jan,Cataluña,393682,15257,66149,90772,13024,88138,120342,8392,44019,30140,287226,23905
Jan,Ceuta,11216,587,2005,1992,679,3249,2704,75,461,493,8278,1909
Jan,Comunidad Valenciana,366562,14519,54340,79288,12991,87067,118357,12932,48084,27554,256357,21635
Jan,Extremadura,105228,4883,15745,20656,4649,27559,31736,11374,6182,8476,73822,5374
Jan,Galicia,167755,4071,27884,40432,3763,40357,51248,6161,18363,13846,116181,13204
Jan,Comunidad de Madrid,350749,13856,57395,76626,12619,83500,106753,2819,21431,27914,276183,22402
Jan,Melilla,9332,607,1354,1625,686,2717,2343,65,143,581,6866,1677
Jan,Región de Murcia,102403,4927,15641,19844,4899,27090,30002,7148,10995,8062,67300,8898
Jan,Navarra,33872,1627,5694,6737,1471,8896,9447,1998,4662,1616,22774,2822
Jan,País Vasco,117649,4337,21082,26089,4067,28362,33712,2595,14154,7988,79143,13769
Jan,La Rioja,16352,571,2517,3662,482,3763,5357,1503,3061,922,10015,851
Feb,Andalucía,806764,34685,134385,162237,34615,214387,226455,64789,47858,72304,539656,82157
Feb,Aragón,66972,3399,10111,13386,3147,16773,20156,3630,7617,4179,46024,5522
Feb,Principado de Asturias,72940,2622,12670,16625,2340,17310,21373,1425,6183,6040,52594,6698
Feb,Islas Baleares,57565,3537,11108,10471,3341,15479,13629,665,2283,5072,47006,2539
Feb,Canarias,207837,7161,33877,51034,6335,46289,63141,4527,8282,21041,158227,15760
Feb,Cantabria,38873,1528,6883,8682,1349,9512,10919,706,3124,2835,29311,2897
Feb,Castilla-La Mancha,175741,8181,23941,32387,7958,46302,56972,14558,16933,12585,118395,13270
Feb,Castilla y León,143723,6315,22002,32549,5740,32547,44570,8119,13080,10207,99473,12844
Feb,Cataluña,395214,15650,65606,90723,13627,88630,120978,8336,43679,29738,288738,24723
Feb,Ceuta,11303,618,1964,1997,724,3265,2735,72,448,469,8358,1956
Feb,Comunidad Valenciana,366262,15037,53371,78602,13613,86992,118647,13015,47709,27100,256085,22353
Feb,Extremadura,105246,5023,15527,20430,4824,27631,31811,11234,6215,8334,73761,5702
Feb,Galicia,166229,4032,27273,40133,3816,39888,51087,6029,18297,13613,114987,13303
Feb,Comunidad de Madrid,352896,14677,57590,76609,13300,83635,107085,2835,21292,27405,278260,23104
Feb,Melilla,9329,619,1335,1641,717,2703,2314,68,147,598,6818,1698
Feb,Región de Murcia,101485,5056,15325,19514,4980,26769,29841,6797,10684,7893,66933,9178
Feb,Navarra,33975,1611,5629,6745,1573,8865,9552,1995,4639,1584,22822,2935
Feb,País Vasco,117239,4503,20581,26034,4123,28320,33678,2543,13963,7913,78862,13958
Feb,La Rioja,16454,567,2505,3672,505,3808,5397,1557,3052,925,10029,891
Jul,Andalucía,958195,44129,173756,183352,43296,262439,251223,99031,54705,84098,623198,97163
Jul,Aragón,75785,4145,12479,14891,3771,19332,21167,4034,8796,4713,51649,6593
Jul,Principado de Asturias,77633,2959,14246,17753,2385,18187,22103,1419,6679,6599,55435,7501
Jul,Islas Baleares,71547,4892,14332,13481,4424,18756,15662,912,3002,8659,55020,3954
Jul,Canarias,257649,9640,46199,59184,8618,61535,72473,5312,9647,23434,201042,18214
Jul,Cantabria,39707,1572,7123,9203,1236,9657,10916,675,3283,3023,29573,3153
Jul,Castilla-La Mancha,186107,8432,27079,33732,8168,50151,58545,15931,17604,13425,124358,14789
Jul,Castilla y León,155323,7038,25355,32696,6413,37402,46419,8436,14244,10307,107400,14936
